proudy-1: min;proudy-1: max;proudy-2: min;proudy-2: max;proudy-3: min;proudy-3: max;proudy-4: min;proudy-4: max;napeti-1: min;napeti-1: max;napeti-2: min;napeti-2: max;napeti-3: min;napeti-3: max;napeti-4: min;napeti-4: max;oscilace-1: min;oscilace-1: max;oscilace-2: min;oscilace-2: max;oscilace-3: min;oscilace-3: max;oscilace-4: min;oscilace-4: max;oscilace-5: min;oscilace-5: max;oscilace-6: min;oscilace-6: max;oscilace-7: min;oscilace-7: max;oscilace-8: min;oscilace-8: max;oscilace-9: min;oscilace-9: max;oscilace-10: min;oscilace-10: max;oscilace-11: min;oscilace-11: max;oscilace-12: min;oscilace-12: max;oscilace-13: min;oscilace-13: max;oscilace-14: min;oscilace-14: max;oscilace-15: min;oscilace-15: max;oscilace-16: min;oscilace-16: max;filepath
-1.450461;-0.43819094;6.4005284;20.816198;-1.4505024;-0.43369505;6.4065375;20.81433;-3.9918044;-1.2543689;4.5929728;9.689151;-4.8609457;-1.3748012;4.399086;9.67362;-0.94202;-0.109436095;-0.05754702;0.36784273;-0.28202152;0.3949324;-1.8386341;-0.27053332;0.032344136;0.23667823;-0.12791558;-0.00935319;-0.0142627;0.14913188;0.05142773;0.50305367;0.023895495;0.15028863;-0.06691099;0.049285956;-0.16446613;0.38917577;-0.4968132;0.11836781;-0.052303366;-0.00889075;-0.011671279;0.038560268;-0.08587132;0.011263811;-0.034766436;0.11452934;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_2_0Nm_12-14-2020_13-02_Em_1.mat
-1.450461;-0.43819094;6.4005284;20.816198;-1.4505024;-0.43369505;6.4065375;20.81433;-3.9918044;-1.2543689;4.5929728;9.689151;-4.8609457;-1.3748012;4.399086;9.67362;0.01871382;0.77886045;0.11389377;0.65844053;-1.6008518;-0.3252364;-0.13205107;1.1082733;-0.22346939;-0.024415854;-0.14981914;-0.022198504;0.04862206;0.3868465;-0.36345658;-0.015595514;-0.11571017;0.01203519;-0.12275668;-0.011611688;-0.56748617;0.13035607;-0.28652328;0.2096371;-0.003384033;0.05139501;0.0010231901;0.04160269;-0.020474723;0.117863946;-0.041902464;0.060224954;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_2_0Nm_12-14-2020_13-02_Em_2.mat
-1.5693518;-0.56158286;8.191824;22.591135;-1.5706154;-0.55168986;8.194307;22.59489;-4.1416078;-1.3146926;4.8176794;9.763505;-5.0336566;-1.4469161;4.655953;9.741387;0.07055724;0.22104535;-1.0346824;-0.095519595;0.0871969;1.780576;0.27084306;1.0112207;-0.027106168;0.008629787;0.037295092;0.27857143;-0.52226573;-0.051188596;-0.17040977;-0.019507939;-0.07419239;0.025961295;0.01402759;0.1573332;-0.0944971;0.41828716;-0.12255975;0.4909427;-0.020738002;0.018901184;-0.061696816;-0.00925132;-0.09286693;0.03358919;-0.10048257;0.015437452;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_2_5Nm_12-14-2020_13-02_Em_0.mat
-1.5693518;-0.56158286;8.191824;22.591135;-1.5706154;-0.55168986;8.194307;22.59489;-4.1416078;-1.3146926;4.8176794;9.763505;-5.0336566;-1.4469161;4.655953;9.741387;-0.9800267;-0.13219188;-0.057652283;0.3719084;-0.33270907;0.50122625;-2.0449522;-0.28967223;0.03722042;0.24434069;-0.13398819;-0.0097066695;-0.012841727;0.14154685;0.0555472;0.52739304;0.031769972;0.147938;-0.07794056;0.04422429;-0.1898684;0.37995008;-0.5881793;0.05192744;-0.050043657;-0.006571314;-0.003983689;0.04548046;-0.074573055;0.009743626;-0.034228917;0.1161104;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_2_5Nm_12-14-2020_13-02_Em_1.mat
-1.5693518;-0.56158286;8.191824;22.591135;-1.5706154;-0.55168986;8.194307;22.59489;-4.1416078;-1.3146926;4.8176794;9.763505;-5.0336566;-1.4469161;4.655953;9.741387;0.031877473;0.81209546;0.13338147;0.67723924;-1.7615726;-0.34679753;-0.16909613;1.124902;-0.23818088;-0.027246453;-0.15385978;-0.022708943;0.044218477;0.39830843;-0.38270542;-0.032326095;-0.13293032;0.01555579;-0.11674887;-0.012132289;-0.6134525;0.057813182;-0.25700572;0.29773197;0.006592375;0.061495524;-0.0050127693;0.035463523;-0.025893858;0.12398107;-0.05318427;0.05198678;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_2_5Nm_12-14-2020_13-02_Em_2.mat
-1.7182603;-0.7155478;10.441826;24.769577;-1.7193961;-0.7099658;10.444766;24.772442;-4.2622843;-1.3956101;5.050393;9.795359;-5.158509;-1.5341953;4.939975;9.766021;0.0976073;0.23514543;-1.0570332;-0.10692656;0.11493264;1.7807769;0.26321462;1.0523611;-0.03439734;0.0075533674;0.038998272;0.28162798;-0.5296381;-0.064404465;-0.18800327;-0.03363024;-0.07252309;0.049248178;0.022326406;0.16943628;-0.09995461;0.5856898;-0.02135291;0.60075325;-0.027999656;0.016869135;-0.063657;-0.010287682;-0.08765798;0.018328818;-0.107276104;0.023988381;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_3_0Nm_12-14-2020_13-02_Em_0.mat
-1.7182603;-0.7155478;10.441826;24.769577;-1.7193961;-0.7099658;10.444766;24.772442;-4.2622843;-1.3956101;5.050393;9.795359;-5.158509;-1.5341953;4.939975;9.766021;-1.0095515;-0.14889622;-0.055947557;0.38985273;-0.33871034;0.51969975;-1.9736062;-0.28420168;0.035684682;0.25241315;-0.13759252;-0.012917058;-0.013987479;0.13679454;0.07716497;0.549117;0.024954261;0.1495604;-0.087450236;0.041395683;-0.17534852;0.41894376;-0.75815445;0.0311438;-0.051759418;-0.007976207;-0.0032536117;0.047900863;-0.08541561;0.041542456;-0.012651024;0.121044464;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_3_0Nm_12-14-2020_13-02_Em_1.mat
-1.7182603;-0.7155478;10.441826;24.769577;-1.7193961;-0.7099658;10.444766;24.772442;-4.2622843;-1.3956101;5.050393;9.795359;-5.158509;-1.5341953;4.939975;9.766021;0.03535403;0.8215042;0.14806059;0.70541734;-1.6869955;-0.31971952;-0.12544101;1.1823996;-0.23782463;-0.031455886;-0.15926707;-0.02214334;0.067679204;0.4221814;-0.37620515;-0.034371085;-0.14442667;0.00815264;-0.12193419;-0.00091239484;-0.7586537;0.007874704;-0.2370099;0.40158668;0.00868308;0.06219982;-0.0038592138;0.03712094;-0.009559634;0.13049722;-0.0515645;0.041877873;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_3_0Nm_12-14-2020_13-02_Em_2.mat
-1.8183756;-0.8551605;12.468189;26.075146;-1.8191197;-0.851074;12.466923;26.070229;-4.3785872;-1.4179848;5.102145;9.839722;-5.286972;-1.5603324;5.0129466;9.807682;0.10946018;0.24472916;-1.0809109;-0.10997848;0.04919642;1.8302956;0.05879404;1.1154617;-0.032230843;0.008762614;0.047704183;0.29085946;-0.52862996;-0.07193471;-0.19129111;-0.028317025;-0.07460004;0.027760275;0.020513577;0.16896991;-0.15924154;0.44858295;-0.4162985;0.5870768;-0.024388978;0.02278237;-0.06309457;7.3645584e-05;-0.09329338;0.051631216;-0.10822252;0.014040969;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_3_5Nm_12-14-2020_13-02_Em_0.mat
-1.8183756;-0.8551605;12.468189;26.075146;-1.8191197;-0.851074;12.466923;26.070229;-4.3785872;-1.4179848;5.102145;9.839722;-5.286972;-1.5603324;5.0129466;9.807682;-1.0403684;-0.15955581;-0.059301373;0.37700567;-0.53155506;0.50901866;-2.0492952;-0.25764498;0.043654624;0.26219565;-0.13246363;-0.014468404;-0.009478898;0.13365565;0.086340845;0.5413772;0.024733575;0.1535576;-0.09436637;0.042184766;-0.48735645;0.3926721;-0.5970171;0.12510087;-0.053402957;0.0047336053;-0.004520503;0.04884481;-0.084630236;0.02290453;-0.018612232;0.12148006;.\data\AI_InputData\Measurement_HS_Procesed\FaultSubSys1\GrabbedData_Fault_3z_U_RampUp_3_5Nm_12-14-2020_13-02_Em_1.mat
